"Year","Province","Normalization","Value"
1867,"New Brunswick","Dollars Per Capita ($)",1.1610221402214
1867,"Nova Scotia","Dollars Per Capita ($)",0.891994505494506
1867,"Ontario","Dollars Per Capita ($)",0.442753442622951
1867,"Quebec","Dollars Per Capita ($)",0.813374888691006
1868,"New Brunswick","Dollars Per Capita ($)",1.1483102189781
1868,"Nova Scotia","Dollars Per Capita ($)",1.25449051490515
1868,"Ontario","Dollars Per Capita ($)",0.548028478964401
1868,"Quebec","Dollars Per Capita ($)",0.861743183817062
1869,"New Brunswick","Dollars Per Capita ($)",1.13587364620939
1869,"Nova Scotia","Dollars Per Capita ($)",1.18486096256684
1869,"Ontario","Dollars Per Capita ($)",0.618994901210962
1869,"Quebec","Dollars Per Capita ($)",0.744909878682842
1870,"Manitoba","Dollars Per Capita ($)",3.05472727272727
1870,"New Brunswick","Dollars Per Capita ($)",1.11573758865248
1870,"Nova Scotia","Dollars Per Capita ($)",1.07104461942257
1870,"Ontario","Dollars Per Capita ($)",0.649328732747804
1870,"Quebec","Dollars Per Capita ($)",0.683176771989752
1871,"British Columbia","Dollars Per Capita ($)",5.94444444444444
1871,"Manitoba","Dollars Per Capita ($)",2.68816
1871,"New Brunswick","Dollars Per Capita ($)",1.19447552447552
1871,"Nova Scotia","Dollars Per Capita ($)",1.21413659793814
1871,"Ontario","Dollars Per Capita ($)",0.639237507711289
1871,"Quebec","Dollars Per Capita ($)",0.671704450041982
1872,"British Columbia","Dollars Per Capita ($)",5.84567567567568
1872,"Manitoba","Dollars Per Capita ($)",2.31737931034483
1872,"New Brunswick","Dollars Per Capita ($)",1.17800689655172
1872,"Nova Scotia","Dollars Per Capita ($)",1.20128426395939
1872,"Ontario","Dollars Per Capita ($)",0.619611144760751
1872,"Quebec","Dollars Per Capita ($)",0.662251655629139
1873,"British Columbia","Dollars Per Capita ($)",5.90497435897436
1873,"Manitoba","Dollars Per Capita ($)",2.13236363636364
1873,"New Brunswick","Dollars Per Capita ($)",1.58260884353742
1873,"Nova Scotia","Dollars Per Capita ($)",1.3746025
1873,"Ontario","Dollars Per Capita ($)",0.710310385756677
1873,"Prince Edward Island","Dollars Per Capita ($)",2.86572448979592
1873,"Quebec","Dollars Per Capita ($)",0.78178728606357
1874,"British Columbia","Dollars Per Capita ($)",5.62625
1874,"Manitoba","Dollars Per Capita ($)",1.76789189189189
1874,"New Brunswick","Dollars Per Capita ($)",1.72361744966443
1874,"Nova Scotia","Dollars Per Capita ($)",1.35366748768473
1874,"Ontario","Dollars Per Capita ($)",0.696666472642608
1874,"Prince Edward Island","Dollars Per Capita ($)",2.43582828282828
1874,"Quebec","Dollars Per Capita ($)",0.769865971107544
1875,"British Columbia","Dollars Per Capita ($)",5.19635714285714
1875,"Manitoba","Dollars Per Capita ($)",2.21882926829268
1875,"New Brunswick","Dollars Per Capita ($)",1.70278073089701
1875,"Nova Scotia","Dollars Per Capita ($)",1.30044525547445
1875,"Ontario","Dollars Per Capita ($)",0.685494272623139
1875,"Prince Edward Island","Dollars Per Capita ($)",1.76227722772277
1875,"Quebec","Dollars Per Capita ($)",0.761311904761905
1876,"British Columbia","Dollars Per Capita ($)",4.84225581395349
1876,"Manitoba","Dollars Per Capita ($)",2.04545454545455
1876,"New Brunswick","Dollars Per Capita ($)",1.68200328947368
1876,"Nova Scotia","Dollars Per Capita ($)",1.25456385542169
1876,"Ontario","Dollars Per Capita ($)",0.674674746335964
1876,"Prince Edward Island","Dollars Per Capita ($)",1.66210784313725
1876,"Quebec","Dollars Per Capita ($)",0.752355294117647
1877,"British Columbia","Dollars Per Capita ($)",4.72940909090909
1877,"Manitoba","Dollars Per Capita ($)",1.91489361702128
1877,"New Brunswick","Dollars Per Capita ($)",1.43362540716612
1877,"Nova Scotia","Dollars Per Capita ($)",0.996907142857143
1877,"Ontario","Dollars Per Capita ($)",0.664191453940067
1877,"Prince Edward Island","Dollars Per Capita ($)",1.5511067961165
1877,"Quebec","Dollars Per Capita ($)",0.744183863460047
1878,"British Columbia","Dollars Per Capita ($)",4.62431111111111
1878,"Manitoba","Dollars Per Capita ($)",1.8
1878,"New Brunswick","Dollars Per Capita ($)",1.39087096774194
1878,"Nova Scotia","Dollars Per Capita ($)",0.941
1878,"Ontario","Dollars Per Capita ($)",0.654386550027337
1878,"Prince Edward Island","Dollars Per Capita ($)",1.51393269230769
1878,"Quebec","Dollars Per Capita ($)",0.735623466257669
1879,"British Columbia","Dollars Per Capita ($)",4.52360869565217
1879,"Manitoba","Dollars Per Capita ($)",1.95653703703704
1879,"New Brunswick","Dollars Per Capita ($)",1.36744089456869
1879,"Nova Scotia","Dollars Per Capita ($)",0.88053488372093
1879,"Ontario","Dollars Per Capita ($)",0.643134336378291
1879,"Prince Edward Island","Dollars Per Capita ($)",1.46992380952381
1879,"Quebec","Dollars Per Capita ($)",0.72560741301059
1880,"British Columbia","Dollars Per Capita ($)",4.33372916666667
1880,"Manitoba","Dollars Per Capita ($)",1.82160344827586
1880,"New Brunswick","Dollars Per Capita ($)",1.34810410094637
1880,"Nova Scotia","Dollars Per Capita ($)",0.931222988505747
1880,"Ontario","Dollars Per Capita ($)",0.631928722280887
1880,"Prince Edward Island","Dollars Per Capita ($)",1.43260747663551
1880,"Quebec","Dollars Per Capita ($)",0.715326621923937
