Year,Province,Value
1867,New Brunswick,0.314637
1867,Nova Scotia,0.324686
1867,Ontario,0.675199
1867,Quebec,0.91342
1868,New Brunswick,0.314637
1868,Nova Scotia,0.462907
1868,Ontario,0.846704
1868,Quebec,0.979802
1869,New Brunswick,0.314637
1869,Nova Scotia,0.443138
1869,Ontario,0.971203
1869,Quebec,0.859626
1870,Manitoba,0.067204
1870,New Brunswick,0.314638
1870,Nova Scotia,0.408068
1870,Ontario,1.03503
1870,Quebec,0.8
1871,British Columbia,0.214
1871,Manitoba,0.067204
1871,New Brunswick,0.34162
1871,Nova Scotia,0.471085
1871,Ontario,1.036204
1871,Quebec,0.8
1872,British Columbia,0.21629
1872,Manitoba,0.067204
1872,New Brunswick,0.341622
1872,Nova Scotia,0.473306
1872,Ontario,1.022978
1872,Quebec,0.8
1873,British Columbia,0.230294
1873,Manitoba,0.070368
1873,New Brunswick,0.465287
1873,Nova Scotia,0.549841
1873,Ontario,1.196873
1873,Prince Edward Island,0.280841
1873,Quebec,0.959253
1874,British Columbia,0.22505
1874,Manitoba,0.065412
1874,New Brunswick,0.513638
1874,Nova Scotia,0.549589
1874,Ontario,1.196873
1874,Prince Edward Island,0.241147
1874,Quebec,0.959253
1875,British Columbia,0.218247
1875,Manitoba,0.090972
1875,New Brunswick,0.512537
1875,Nova Scotia,0.534483
1875,Ontario,1.196873
1875,Prince Edward Island,0.17799
1875,Quebec,0.959253
1876,British Columbia,0.208217
1876,Manitoba,0.09
1876,New Brunswick,0.511329
1876,Nova Scotia,0.520644
1876,Ontario,1.196873
1876,Prince Edward Island,0.169535
1876,Quebec,0.959253
1877,British Columbia,0.208094
1877,Manitoba,0.09
1877,New Brunswick,0.440123
1877,Nova Scotia,0.418701
1877,Ontario,1.196873
1877,Prince Edward Island,0.159764
1877,Quebec,0.959253
1878,British Columbia,0.208094
1878,Manitoba,0.09
1878,New Brunswick,0.43117
1878,Nova Scotia,0.399925
1878,Ontario,1.196873
1878,Prince Edward Island,0.157449
1878,Quebec,0.959253
1879,British Columbia,0.208086
1879,Manitoba,0.105653
1879,New Brunswick,0.428009
1879,Nova Scotia,0.37863
1879,Ontario,1.196873
1879,Prince Edward Island,0.154342
1879,Quebec,0.959253
1880,British Columbia,0.208019
1880,Manitoba,0.105653
1880,New Brunswick,0.427349
1880,Nova Scotia,0.405082
1880,Ontario,1.196873
1880,Prince Edward Island,0.153289
1880,Quebec,0.959253
1881,British Columbia,0.207366
1881,Manitoba,0.163071
1881,New Brunswick,0.455409
1881,Nova Scotia,0.384146
1881,Ontario,1.196873
1881,Prince Edward Island,0.164881
1881,Quebec,0.959253
1882,British Columbia,0.207996
1882,Manitoba,0.227153
1882,New Brunswick,0.456971
1882,Nova Scotia,0.393753
1882,Ontario,1.196873
1882,Prince Edward Island,0.164674
1882,Quebec,0.959253
1883,British Columbia,0.207996
1883,Manitoba,0.227153
1883,New Brunswick,0.454971
1883,Nova Scotia,0.392457
1883,Ontario,1.196873
1883,Prince Edward Island,0.164511
1883,Quebec,0.959253
1884,British Columbia,0.212151
1884,Manitoba,0.229858
1884,New Brunswick,0.485159
1884,Nova Scotia,0.432621
1884,Ontario,1.339287
1884,Prince Edward Island,0.173537
1884,Quebec,1.086714
1885,British Columbia,0.212151
1885,Manitoba,0.443075
1885,New Brunswick,0.495012
1885,Nova Scotia,0.43275
1885,Ontario,1.339287
1885,Prince Edward Island,0.173537
1885,Quebec,1.086714
1886,British Columbia,0.212151
1886,Manitoba,0.435861
1886,New Brunswick,0.488909
1886,Nova Scotia,0.432882
1886,Ontario,1.339287
1886,Prince Edward Island,0.173537
1886,Quebec,1.086714
1887,British Columbia,0.212151
1887,Manitoba,0.435595
1887,New Brunswick,0.488359
1887,Nova Scotia,0.432873
1887,Ontario,1.339287
1887,Prince Edward Island,0.193537
1887,Quebec,1.086714
1888,British Columbia,0.212151
1888,Manitoba,0.435596
1888,New Brunswick,0.486229
1888,Nova Scotia,0.432867
1888,Ontario,1.26808
1888,Prince Edward Island,0.193521
1888,Quebec,1.022983
1889,British Columbia,0.212151
1889,Manitoba,0.435596
1889,New Brunswick,0.484315
1889,Nova Scotia,0.432831
1889,Ontario,1.196873
1889,Prince Edward Island,0.183903
1889,Quebec,0.959253
1890,British Columbia,0.212151
1890,Manitoba,0.435596
1890,New Brunswick,0.483546
1890,Nova Scotia,0.432823
1890,Ontario,1.196873
1890,Prince Edward Island,0.183515
1890,Quebec,0.959253
1891,British Columbia,0.242242
1891,Manitoba,0.437607
1891,New Brunswick,0.483575
1891,Nova Scotia,0.432819
1891,Ontario,1.196873
1891,Prince Edward Island,0.183545
1891,Quebec,0.959253
1892,British Columbia,0.242242
1892,Manitoba,0.437594
1892,New Brunswick,0.483564
1892,Nova Scotia,0.432815
1892,Ontario,1.196873
1892,Prince Edward Island,0.183424
1892,Quebec,0.959253
1893,British Columbia,0.243585
1893,Manitoba,0.437601
1893,New Brunswick,0.48357
1893,Nova Scotia,0.432814
1893,Ontario,1.339287
1893,Prince Edward Island,0.183084
1893,Quebec,1.086714
1894,British Columbia,0.24269
1894,Manitoba,0.482593
1894,New Brunswick,0.483567
1894,Nova Scotia,0.432813
1894,Ontario,1.339287
1894,Prince Edward Island,0.183011
1894,Quebec,1.086713
1895,British Columbia,0.242689
1895,Manitoba,0.467596
1895,New Brunswick,0.483556
1895,Nova Scotia,0.432812
1895,Ontario,1.339287
1895,Prince Edward Island,0.183011
1895,Quebec,1.086713
1896,British Columbia,0.242689
1896,Manitoba,0.470336
1896,New Brunswick,0.483556
1896,Nova Scotia,0.432809
1896,Ontario,1.339287
1896,Prince Edward Island,0.182668
1896,Quebec,1.086714
1897,British Columbia,0.242689
1897,Manitoba,0.470336
1897,New Brunswick,0.483538
1897,Nova Scotia,0.432808
1897,Ontario,1.339287
1897,Prince Edward Island,0.182
1897,Quebec,1.086714
1898,British Columbia,0.242689
1898,Manitoba,0.483687
1898,New Brunswick,0.48352
1898,Nova Scotia,0.432807
1898,Ontario,1.339287
1898,Prince Edward Island,0.181932
1898,Quebec,1.086714
1899,British Columbia,0.242689
1899,Manitoba,0.483687
1899,New Brunswick,0.483492
1899,Nova Scotia,0.432808
1899,Ontario,1.339287
1899,Prince Edward Island,0.181932
1899,Quebec,1.086714
1900,British Columbia,0.242689
1900,Manitoba,0.483687
1900,New Brunswick,0.483492
1900,Nova Scotia,0.432807
1900,Ontario,1.339287
1900,Prince Edward Island,0.181932
1900,Quebec,1.086713
1901,British Columbia,0.307077
1901,Manitoba,0.532905
1901,New Brunswick,0.491377
1901,Nova Scotia,0.432806
1901,Ontario,1.339287
1901,Prince Edward Island,0.211932
1901,Quebec,1.086713
1902,British Columbia,0.307077
1902,Manitoba,0.533327
1902,New Brunswick,0.491361
1902,Nova Scotia,0.432806
1902,Ontario,1.339287
1902,Prince Edward Island,0.211932
1902,Quebec,1.086713
1903,British Columbia,0.307077
1903,Manitoba,0.533116
1903,New Brunswick,0.491361
1903,Nova Scotia,0.432806
1903,Ontario,1.339287
1903,Prince Edward Island,0.211932
1903,Quebec,1.086713
1904,British Columbia,0.307077
1904,Manitoba,0.646862
1904,New Brunswick,0.491361
1904,Nova Scotia,0.432806
1904,Ontario,1.339287
1904,Prince Edward Island,0.211932
1904,Quebec,1.086713
1905,Alberta,1.124125
1905,British Columbia,0.307077
1905,Manitoba,0.608947
1905,New Brunswick,0.491361
1905,Nova Scotia,0.432806
1905,Ontario,1.339287
1905,Prince Edward Island,0.211932
1905,Quebec,1.086713
1905,Saskatchewan,1.124125
1906,Alberta,1.124125
1906,British Columbia,0.307077
1906,Manitoba,0.621497
1906,New Brunswick,0.491361
1906,Nova Scotia,0.432806
